Contig:MEG_470xxDrugsxxbetalactamsxxClass_C_betalactamasesxxACT,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
15	1:0.97	1:0.94	1:0.96	1:0.98	1:0.98	1:0.97	0:1.00	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00
42	1:0.98	0:1.00	0:0.97	0:1.00	0:0.99	0:0.98	0:0.98	0:0.98	0:1.00	0:0.97	0:1.00	0:0.99
61	1:0.97	1:0.98	1:0.97	1:0.99	1:0.98	0:0.98	0:0.98	0:0.98	0:1.00	0:0.97	1:1.00	0:1.00
106	1:0.99	1:0.99	1:0.99	1:0.99	1:0.98	1:0.99	1:1.00	0:0.99	1:0.99	1:1.00	1:0.99	1:0.98
132	1:0.93	1:0.92	1:0.93	1:0.92	1:0.95	1:0.92	0:0.99	0:0.99	0:1.00	0:0.99	1:0.93	0:1.00
133	1:0.98	1:0.97	1:0.97	1:0.98	1:0.98	1:0.98	0:0.99	0:0.99	0:1.00	0:1.00	1:1.00	0:1.00
168	1:0.99	1:0.99	1:0.99	1:0.99	1:0.99	1:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.99	0:0.99
183	1:0.98	1:1.00	1:0.97	1:0.99	1:0.99	1:0.99	1:0.98	0:1.00	1:0.99	1:0.99	1:0.99	1:0.98
195	1:0.95	1:0.97	1:0.96	1:0.95	1:0.96	1:0.94	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	0:0.99
210	1:0.94	1:0.94	1:0.95	1:0.97	1:0.97	1:0.95	0:0.99	0:0.99	0:1.00	1:0.58	1:0.98	0:0.99
212	1:0.97	1:0.95	1:0.97	1:0.99	1:0.97	1:0.98	0:0.99	0:0.99	0:1.00	1:0.98	1:1.00	0:0.99
213	1:0.98	1:0.99	1:0.98	1:0.99	1:0.98	1:0.99	0:0.99	0:0.99	0:0.99	1:1.00	1:0.96	0:0.99
234	1:0.99	1:0.99	1:0.99	1:0.98	1:0.99	1:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:1.00	0:1.00
272	0:0.97	0:0.95	0:0.97	1:0.99	1:0.98	0:0.97	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99
273	1:0.98	1:0.94	1:0.97	1:0.98	1:0.98	1:0.98	0:0.99	0:0.99	0:0.99	0:0.99	1:1.00	0:0.99
276	0:1.00	0:1.00	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00
282	1:0.98	1:0.98	1:0.99	1:1.00	1:0.99	1:0.99	0:1.00	0:0.99	1:1.00	1:0.99	1:1.00	0:1.00
283	0:0.87	0:0.90	0:0.87	0:0.92	0:0.91	0:0.86	0:1.00	0:1.00	0:0.92	0:0.84	0:0.92	0:0.99
343	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
348	0:0.99	0:1.00	0:0.98	0:1.00	0:1.00	0:1.00	1:0.96	0:0.98	0:1.00	1:0.97	0:1.00	0:0.99
369	1:0.96	1:0.96	1:0.95	1:0.96	1:0.96	1:0.96	0:0.99	0:0.99	0:1.00	0:1.00	1:1.00	0:1.00
390	1:0.99	1:0.96	1:0.99	1:0.99	1:0.98	1:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99
444	1:0.97	1:0.99	1:0.98	1:0.99	1:0.99	1:0.98	0:0.99	0:0.98	0:1.00	0:0.99	1:1.00	0:1.00
