Contig:MEG_2217xxDrugsxxbetalactamsxxClass_A_betalactamasesxxCTX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10	Haplotype:11
16	0:1.00	0:0.98	0:0.98	0:1.00	0:1.00	0:1.00	0:1.00	0:0.98	0:0.99	1:1.00	0:0.99	0:1.00
23	0:0.95	0:0.94	0:0.97	0:0.94	0:0.96	0:0.96	0:0.94	0:0.96	0:1.00	0:0.95	0:0.94	0:0.95
87	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:0.99	0:1.00	0:0.99
88	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00	0:1.00	0:0.99	0:1.00
89	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:1.00	0:1.00	0:1.00
152	0:1.00	1:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00
198	0:1.00	1:0.96	1:0.95	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.98	0:0.99
272	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
301	0:1.00	1:0.91	1:0.89	0:1.00	0:1.00	0:0.98	0:0.99	0:1.00	0:0.99	0:0.99	1:0.59	0:1.00
327	0:0.97	0:0.97	1:0.95	0:0.97	0:0.97	0:0.98	0:0.98	0:0.97	0:0.99	0:0.97	0:0.96	0:0.97
333	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:1.00
354	0:0.98	0:0.98	0:0.98	0:0.98	0:0.98	0:0.98	0:0.97	1:0.94	0:0.99	0:0.98	0:0.97	0:0.96
367	0:0.97	0:0.94	1:0.96	0:0.95	0:0.95	0:0.95	0:0.93	0:0.94	0:0.99	0:0.94	0:0.95	0:0.94
380	0:1.00	1:0.91	1:0.72	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	1:0.93	0:1.00
381	0:1.00	1:0.92	1:0.80	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	1:0.94	0:1.00
384	0:1.00	1:0.92	1:0.90	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:0.93	0:1.00
438	0:0.99	1:0.99	1:0.99	0:0.99	0:0.99	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	1:0.98	0:0.99
468	0:0.98	0:0.98	1:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	0:0.98	0:0.98	0:0.98
498	1:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
513	0:0.94	0:0.95	0:0.94	0:0.95	0:0.96	0:0.96	0:0.95	0:0.94	0:0.99	0:0.96	0:0.97	0:0.95
518	0:1.00	1:0.99	1:0.99	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:0.99
594	0:1.00	0:0.99	1:0.98	0:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99
613	0:0.94	0:0.94	0:0.94	0:0.95	0:0.93	0:0.94	0:0.96	0:0.95	0:0.99	0:0.96	0:0.94	0:0.94
619	0:1.00	0:0.99	0:0.99	1:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
620	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:1.00
679	0:0.98	1:0.99	0:0.99	0:0.98	0:0.98	0:0.98	0:0.98	0:0.98	0:1.00	0:0.98	0:0.99	0:0.99
695	0:0.99	1:0.98	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99
722	1:0.98	1:0.98	1:0.98	1:0.98	1:1.00	1:0.98	1:0.96	1:0.98	1:0.97	1:0.95	1:0.99	0:1.00
748	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00
832	0:0.99	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00	1:0.99	0:0.99	0:1.00	1:0.98	0:1.00
