Contig:MEG_5964xxDrugsxxFluoroquinolonesxxQuinolone_resistance_protein_QnrxxQNRB,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8
19	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:0.98	0:0.99
48	0:0.98	0:0.99	0:0.98	0:0.98	0:0.99	0:1.00	0:0.91	0:0.99	1:0.97
49	0:0.97	1:0.84	0:1.00	0:1.00	1:0.97	0:0.99	0:0.99	0:0.99	0:0.99
153	0:0.97	0:0.98	1:1.00	0:1.00	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99
185	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00	1:0.93	1:0.92	0:1.00	1:0.95
190	1:0.95	1:0.98	1:0.94	0:1.00	1:0.99	1:0.99	1:0.99	1:0.99	1:0.98
270	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:0.89	0:1.00	0:0.99
320	0:0.97	0:0.99	0:0.98	0:0.99	0:0.99	0:0.99	0:0.99	1:0.98	0:1.00
321	0:0.99	0:0.99	0:0.99	0:1.00	1:0.98	0:0.99	0:0.98	0:1.00	0:0.99
439	1:0.97	0:1.00	0:1.00	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:1.00
453	1:0.97	0:0.99	0:0.98	0:0.99	0:0.98	0:0.99	0:0.99	1:0.98	0:0.99
474	1:0.95	0:0.99	0:0.97	0:0.98	0:0.97	0:0.97	0:0.98	1:0.97	0:0.99
557	0:0.98	0:0.99	0:0.98	0:0.99	0:0.98	0:1.00	0:0.98	0:0.97	1:0.95
633	0:1.00	0:1.00	0:1.00	0:1.00	1:0.97	1:0.99	0:1.00	0:0.99	1:0.97
634	0:0.99	0:1.00	0:1.00	0:0.99	1:0.99	0:1.00	0:0.99	0:1.00	0:1.00
636	0:1.00	0:0.98	0:0.98	0:0.98	2:0.99	1:0.99	0:0.99	0:0.99	1:0.97
642	0:1.00	0:1.00	0:1.00	0:0.99	1:0.97	0:1.00	0:1.00	0:1.00	0:1.00
