Contig:MEG_6497xxDrugsxxbetalactamsxxClass_A_betalactamasesxxSHV,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8	Haplotype:9	Haplotype:10
8	1:0.93	1:0.94	0:1.00	0:1.00	1:0.93	1:0.93	1:1.00	1:0.93	0:1.00	0:1.00	1:0.95
92	0:0.99	1:1.00	0:1.00	0:0.99	0:1.00	0:0.99	0:0.99	1:0.98	0:1.00	0:1.00	0:0.99
227	0:1.00	0:0.98	0:0.98	0:0.99	0:0.99	0:0.99	0:0.97	1:1.00	0:0.98	0:0.98	0:0.99
238	0:0.99	0:1.00	0:1.00	0:1.00	1:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
299	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	0:0.99	1:1.00
324	1:0.98	1:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:1.00	1:0.97	0:1.00	0:1.00	0:1.00
357	1:0.98	1:0.96	0:0.99	0:0.99	0:0.99	1:0.98	0:0.99	1:0.99	0:0.99	0:0.99	1:0.96
359	0:0.99	0:0.99	0:1.00	0:0.99	0:0.98	1:0.98	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
503	0:0.99	1:0.96	0:0.98	0:1.00	0:1.00	0:0.99	0:0.98	0:1.00	0:0.98	0:0.97	0:0.97
629	0:1.00	0:1.00	0:1.00	1:1.00	0:0.99	0:1.00	0:0.99	0:1.00	0:1.00	0:1.00	0:1.00
633	1:0.98	1:0.99	0:0.90	0:0.99	0:1.00	1:0.99	0:0.99	1:0.98	0:0.98	0:0.99	1:0.99
700	0:1.00	0:1.00	0:1.00	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	1:0.90	1:1.00	0:1.00
703	0:0.99	0:0.97	0:1.00	0:1.00	0:0.99	0:0.99	0:0.97	0:1.00	1:1.00	0:1.00	0:0.97
786	1:0.95	1:0.93	0:0.91	0:1.00	0:0.99	1:0.96	0:0.99	1:0.96	0:0.98	0:0.99	1:0.94
824	1:0.96	0:0.99	0:0.99	0:1.00	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98	0:0.99	0:0.99
