Contig:MEG_2274xxDrugsxxbetalactamsxxClass_A_betalactamasesxxCTX,Range:ALL-ALL	Haplotype:0	Haplotype:1	Haplotype:2	Haplotype:3	Haplotype:4	Haplotype:5	Haplotype:6	Haplotype:7	Haplotype:8
61	0:0.99	0:0.99	0:0.99	0:0.99	0:0.85	0:0.99	1:0.98	0:0.99	0:0.99
136	1:0.94	1:0.91	0:1.00	1:0.92	1:0.86	1:0.92	1:0.93	1:0.93	1:0.88
151	1:0.98	1:0.98	0:1.00	1:0.99	1:0.92	1:0.99	1:0.98	1:0.99	1:0.98
180	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	1:1.00	0:1.00	0:1.00	0:1.00
375	0:0.98	0:0.96	0:0.94	0:0.95	0:0.93	0:0.97	0:0.96	0:0.97	0:0.95
446	0:0.99	0:0.97	0:0.96	1:1.00	0:1.00	0:1.00	0:0.96	0:0.98	0:1.00
508	0:0.99	1:0.99	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00
644	0:1.00	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	1:1.00	0:0.99
710	1:1.00	0:0.98	0:0.99	0:0.98	0:1.00	0:0.99	0:0.99	0:1.00	0:0.98
725	1:0.80	0:0.99	0:0.99	0:0.99	0:1.00	0:0.99	0:1.00	1:0.98	0:1.00
810	0:0.99	1:0.98	0:0.99	0:0.99	0:1.00	0:0.99	0:0.99	0:1.00	0:0.99
825	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:1.00	0:0.99	1:1.00
865	0:1.00	0:0.95	0:0.96	0:0.95	0:0.96	0:0.96	1:0.97	0:0.93	0:0.96
867	0:0.98	0:0.99	0:0.99	0:0.99	0:0.98	0:0.99	1:0.80	0:0.99	0:0.99
